dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.000003,0.000000,0.000050,0.001000,0.010000,0.100000,0.000001
0.100000,0.000203,0.000000,0.000250,0.003000,0.020000,0.100000,0.000097
0.100000,0.000653,0.000000,0.000700,0.006000,0.030000,0.100000,0.000313
0.100000,0.001453,0.000001,0.001500,0.010000,0.040000,0.100000,0.000697
0.100000,0.002703,0.000002,0.002750,0.015000,0.050000,0.100000,0.001297
0.100000,0.004453,0.000005,0.004500,0.020000,0.050000,-0.000000,0.002138
0.100000,0.006703,0.000011,0.006750,0.025000,0.050000,0.000000,0.003219
0.100000,0.009453,0.000021,0.009500,0.030000,0.050000,0.000000,0.004543
0.100000,0.012703,0.000039,0.012750,0.035000,0.050000,-0.000000,0.006109
0.100000,0.016453,0.000065,0.016500,0.040000,0.050000,0.000000,0.007919
0.100000,0.020703,0.000103,0.020750,0.045000,0.050000,0.000000,0.009974
0.100000,0.025452,0.000156,0.025500,0.050000,0.050000,-0.000000,0.012275
0.100000,0.030702,0.000227,0.030750,0.055000,0.050000,0.000000,0.014824
0.100000,0.036451,0.000320,0.036500,0.060000,0.050000,0.000000,0.017622
0.100000,0.042700,0.000440,0.042750,0.065000,0.050000,0.000000,0.020672
0.100000,0.049448,0.000591,0.049500,0.070000,0.050000,-0.000000,0.023974
0.100000,0.056696,0.000777,0.056750,0.075000,0.050000,0.000000,0.027531
0.100000,0.064443,0.001005,0.064500,0.080000,0.050000,-0.000000,0.031344
0.100000,0.072688,0.001281,0.072750,0.085000,0.050000,0.000000,0.035417
0.100000,0.081432,0.001610,0.081500,0.090000,0.050000,0.000000,0.039751
0.100000,0.090674,0.001998,0.090750,0.095000,0.050000,-0.000000,0.044348
0.100000,0.100413,0.002454,0.100500,0.100000,0.050000,0.000000,0.049210
0.100000,0.110649,0.002985,0.110750,0.105000,0.050000,0.000000,0.054341
0.100000,0.121382,0.003598,0.121500,0.110000,0.050000,-0.000000,0.059742
0.100000,0.132610,0.004301,0.132750,0.115000,0.050000,0.000000,0.065415
0.100000,0.144332,0.005104,0.144500,0.120000,0.050000,0.000000,0.071363
0.100000,0.156548,0.006015,0.156750,0.125000,0.050000,0.000000,0.077588
0.100000,0.169256,0.007045,0.169500,0.130000,0.050000,0.000000,0.084093
0.100000,0.182456,0.008203,0.182750,0.135000,0.050000,0.000000,0.090877
0.100000,0.196145,0.009499,0.196500,0.140000,0.050000,-0.000000,0.097945
0.100000,0.210321,0.010944,0.210750,0.145000,0.050000,0.000000,0.105297
0.100000,0.224983,0.012551,0.225500,0.150000,0.050000,0.000000,0.112934
0.100000,0.240129,0.014329,0.240750,0.155000,0.050000,0.000000,0.120858
0.100000,0.255756,0.016292,0.256500,0.160000,0.050000,-0.000000,0.129069
0.100000,0.271862,0.018452,0.272750,0.165000,0.050000,0.000000,0.137568
0.100000,0.288443,0.020822,0.289500,0.170000,0.050000,-0.000000,0.146354
0.100000,0.305497,0.023415,0.306750,0.175000,0.050000,0.000000,0.155427
0.100000,0.323020,0.026245,0.324500,0.180000,0.050000,0.000000,0.164785
0.100000,0.341008,0.029325,0.342750,0.185000,0.050000,-0.000000,0.174427
0.100000,0.359457,0.032671,0.361500,0.190000,0.050000,0.000000,0.184351
