dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.000002,0.000000,0.000050,0.001000,0.010000,0.100000,0.000000
0.100000,0.000202,0.000000,0.000250,0.003000,0.020000,0.100000,0.000000
0.100000,0.000652,0.000000,0.000700,0.006000,0.030000,0.100000,0.000000
0.100000,0.001452,0.000000,0.001500,0.010000,0.040000,0.100000,0.000000
0.100000,0.002702,0.000000,0.002750,0.015000,0.050000,0.100000,0.000000
0.100000,0.004452,0.000000,0.004500,0.020000,0.050000,-0.000000,0.000000
0.100000,0.006702,0.000000,0.006750,0.025000,0.050000,0.000000,0.000000
0.100000,0.009452,0.000000,0.009500,0.030000,0.050000,0.000000,0.000000
0.100000,0.012702,0.000000,0.012750,0.035000,0.050000,-0.000000,0.000000
0.100000,0.016452,0.000000,0.016500,0.040000,0.050000,0.000000,0.000000
0.100000,0.020702,0.000000,0.020750,0.045000,0.050000,0.000000,0.000000
0.100000,0.025452,0.000000,0.025500,0.050000,0.050000,-0.000000,0.000000
0.100000,0.030702,0.000000,0.030750,0.055000,0.050000,0.000000,0.000000
0.100000,0.036452,0.000000,0.036500,0.060000,0.050000,0.000000,0.000000
0.100000,0.042702,0.000000,0.042750,0.065000,0.050000,0.000000,0.000000
0.100000,0.049452,0.000000,0.049500,0.070000,0.050000,-0.000000,0.000000
0.100000,0.056702,0.000000,0.056750,0.075000,0.050000,0.000000,0.000000
0.100000,0.064452,0.000000,0.064500,0.080000,0.050000,-0.000000,0.000000
0.100000,0.072702,0.000000,0.072750,0.085000,0.050000,0.000000,0.000000
0.100000,0.081452,0.000000,0.081500,0.090000,0.050000,0.000000,0.000000
0.100000,0.090702,0.000000,0.090750,0.095000,0.050000,-0.000000,0.000000
0.100000,0.100452,0.000000,0.100500,0.100000,0.050000,0.000000,0.000000
0.100000,0.110702,0.000000,0.110750,0.105000,0.050000,0.000000,0.000000
0.100000,0.121452,0.000000,0.121500,0.110000,0.050000,-0.000000,0.000000
0.100000,0.132702,0.000000,0.132750,0.115000,0.050000,0.000000,0.000000
0.100000,0.144452,0.000000,0.144500,0.120000,0.050000,0.000000,0.000000
0.100000,0.156702,0.000000,0.156750,0.125000,0.050000,0.000000,0.000000
0.100000,0.169452,0.000000,0.169500,0.130000,0.050000,0.000000,0.000000
0.100000,0.182702,0.000000,0.182750,0.135000,0.050000,0.000000,0.000000
0.100000,0.196452,0.000000,0.196500,0.140000,0.050000,-0.000000,0.000000
0.100000,0.210702,0.000000,0.210750,0.145000,0.050000,0.000000,0.000000
0.100000,0.225452,0.000000,0.225500,0.150000,0.050000,0.000000,0.000000
0.100000,0.240702,0.000000,0.240750,0.155000,0.050000,0.000000,0.000000
0.100000,0.256452,0.000000,0.256500,0.160000,0.050000,-0.000000,0.000000
0.100000,0.272702,0.000000,0.272750,0.165000,0.050000,0.000000,0.000000
0.100000,0.289452,0.000000,0.289500,0.170000,0.050000,-0.000000,0.000000
0.100000,0.306702,0.000000,0.306750,0.175000,0.050000,0.000000,0.000000
0.100000,0.324452,0.000000,0.324500,0.180000,0.050000,0.000000,0.000000
0.100000,0.342702,0.000000,0.342750,0.185000,0.050000,-0.000000,0.000000
0.100000,0.361452,0.000000,0.361500,0.190000,0.050000,0.000000,0.000000
0.100000,0.380702,0.000000,0.380750,0.195000,0.050000,0.000000,0.000000
0.100000,0.400452,0.000000,0.400500,0.200000,0.050000,-0.000000,0.000000
0.100000,0.420702,0.000000,0.420750,0.205000,0.050000,0.000000,0.000000
0.100000,0.441452,0.000000,0.441500,0.210000,0.050000,0.000000,0.000000
0.100000,0.462702,0.000000,0.462750,0.215000,0.050000,-0.000000,0.000000
0.100000,0.484452,0.000000,0.484500,0.220000,0.050000,-0.000000,0.000000
0.100000,0.506702,0.000000,0.506750,0.225000,0.050000,0.000000,0.000000
0.100000,0.529452,0.000000,0.529500,0.230000,0.050000,-0.000000,0.000000
0.100000,0.552702,0.000000,0.552750,0.235000,0.050000,0.000000,0.000000
0.100000,0.576452,0.000000,0.576500,0.240000,0.050000,-0.000000,0.000000
0.100000,0.600702,0.000000,0.600750,0.245000,0.050000,0.000000,0.000000
0.100000,0.625452,0.000000,0.625500,0.250000,0.050000,0.000000,0.000000
0.100000,0.650702,0.000000,0.650750,0.255000,0.050000,-0.000000,0.000000
0.100000,0.676452,0.000000,0.676500,0.260000,0.050000,0.000000,0.000000
0.100000,0.702702,0.000000,0.702750,0.265000,0.050000,-0.000000,0.000000
0.100000,0.729452,0.000000,0.729500,0.270000,0.050000,0.000000,0.000000
0.100000,0.756702,0.000000,0.756750,0.275000,0.050000,-0.000000,0.000000
0.100000,0.784452,0.000000,0.784500,0.280000,0.050000,0.000000,0.000000
0.100000,0.812702,0.000000,0.812750,0.285000,0.050000,0.000000,0.000000
0.100000,0.841452,0.000000,0.841500,0.290000,0.050000,0.000000,0.000000
0.100000,0.870702,0.000000,0.870750,0.295000,0.050000,0.000000,0.000000
0.100000,0.900452,0.000000,0.900500,0.300000,0.050000,0.000000,0.000000
0.100000,0.930702,0.000000,0.930750,0.305000,0.050000,-0.000000,0.000000
0.100000,0.961452,0.000000,0.961500,0.310000,0.050000,0.000000,0.000000
0.100000,0.992702,0.000000,0.992750,0.315000,0.050000,-0.000000,0.000000
0.100000,1.024452,0.000000,1.024500,0.320000,0.050000,-0.000000,0.000000
0.100000,1.056702,0.000000,1.056750,0.325000,0.050000,0.000000,0.000000
0.100000,1.089452,0.000000,1.089500,0.330000,0.050000,-0.000000,0.000000
0.100000,1.122702,0.000000,1.122750,0.335000,0.050000,0.000000,0.000000
0.100000,1.156452,0.000000,1.156500,0.340000,0.050000,-0.000000,0.000000
0.100000,1.190652,0.000000,1.190700,0.344000,0.040000,-0.100000,0.000000
0.100000,1.225202,0.000000,1.225250,0.347000,0.030000,-0.100000,0.000000
0.100000,1.260002,0.000000,1.260050,0.349000,0.020000,-0.100000,0.000000
0.100000,1.294952,0.000000,1.295000,0.350000,0.010000,-0.100000,0.000000
0.100000,1.329952,0.000000,1.330000,0.350000,0.000000,-0.100000,0.000000
0.100000,1.364952,0.000000,1.365000,0.350000,0.000000,0.000000,0.000000
0.100000,1.399952,0.000000,1.400000,0.350000,0.000000,0.000000,0.000000
0.100000,1.434952,0.000000,1.435000,0.350000,0.000000,0.000000,0.000000
0.100000,1.469952,0.000000,1.470000,0.350000,0.000000,0.000000,0.000000
0.100000,1.504952,0.000000,1.505000,0.350000,0.000000,0.000000,0.000000
0.100000,1.539952,0.000000,1.540000,0.350000,0.000000,0.000000,0.000000
0.100000,1.574952,0.000000,1.575000,0.350000,0.000000,0.000000,0.000000
0.100000,1.609952,0.000000,1.610000,0.350000,0.000000,0.000000,0.000000
0.100000,1.644952,0.000000,1.645000,0.350000,0.000000,0.000000,0.000000
0.100000,1.679952,0.000000,1.680000,0.350000,0.000000,0.000000,0.000000
0.100000,1.714952,0.000000,1.715000,0.350000,0.000000,0.000000,0.000000
0.100000,1.749952,0.000000,1.750000,0.350000,0.000000,0.000000,0.000000
0.100000,1.784952,0.000000,1.785000,0.350000,0.000000,0.000000,0.000000
0.100000,1.819952,0.000000,1.820000,0.350000,0.000000,0.000000,0.000000
0.100000,1.854952,0.000000,1.855000,0.350000,0.000000,0.000000,0.000000
0.100000,1.889952,0.000000,1.890000,0.350000,0.000000,0.000000,0.000000
0.100000,1.924952,0.000000,1.925000,0.350000,0.000000,0.000000,0.000000
0.100000,1.959952,0.000000,1.960000,0.350000,0.000000,0.000000,0.000000
0.100000,1.994952,0.000000,1.995000,0.350000,0.000000,0.000000,0.000000
0.100000,2.029952,0.000000,2.030000,0.350000,0.000000,0.000000,0.000000
0.100000,2.064952,0.000000,2.065000,0.350000,0.000000,0.000000,0.000000
0.100000,2.099952,0.000000,2.100000,0.350000,0.000000,0.000000,0.000000
0.100000,2.134952,0.000000,2.135000,0.350000,0.000000,0.000000,0.000000
0.100000,2.169952,0.000000,2.170000,0.350000,0.000000,0.000000,0.000000
0.100000,2.204952,0.000000,2.205000,0.350000,0.000000,0.000000,0.000000
0.100000,2.239952,0.000000,2.240000,0.350000,0.000000,0.000000,0.000000
0.100000,2.274952,0.000000,2.275000,0.350000,0.000000,0.000000,0.000000
0.100000,2.309952,0.000000,2.310000,0.350000,0.000000,0.000000,0.000000
0.100000,2.344952,0.000000,2.345000,0.350000,0.000000,0.000000,0.000000
0.100000,2.379952,0.000000,2.380000,0.350000,0.000000,0.000000,0.000000
0.100000,2.414952,0.000000,2.415000,0.350000,0.000000,0.000000,0.000000
0.100000,2.449952,0.000000,2.450000,0.350000,0.000000,0.000000,0.000000
0.100000,2.484952,0.000000,2.485000,0.350000,0.000000,0.000000,0.000000
0.100000,2.519952,0.000000,2.520000,0.350000,0.000000,0.000000,0.000000
0.100000,2.554952,0.000000,2.555000,0.350000,0.000000,0.000000,0.000000
0.100000,2.589952,0.000000,2.590000,0.350000,0.000000,0.000000,0.000000
0.100000,2.624952,0.000000,2.625000,0.350000,0.000000,0.000000,0.000000
0.100000,2.659952,0.000000,2.660000,0.350000,0.000000,0.000000,0.000000
0.100000,2.694952,0.000000,2.695000,0.350000,0.000000,0.000000,0.000000
0.100000,2.729952,0.000000,2.730000,0.350000,0.000000,0.000000,0.000000
0.100000,2.764952,0.000000,2.765000,0.350000,0.000000,0.000000,0.000000
0.100000,2.799952,0.000000,2.800000,0.350000,0.000000,0.000000,0.000000
0.100000,2.834952,0.000000,2.835000,0.350000,0.000000,0.000000,0.000000
0.100000,2.869952,0.000000,2.870000,0.350000,0.000000,0.000000,0.000000
