dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.000038,-0.000000,0.000049,0.000979,0.009791,0.097913,6.283155
0.100000,0.000234,-0.000000,0.000245,0.002937,0.019583,0.097913,6.283001
0.100000,0.000675,-0.000000,0.000685,0.005875,0.029374,0.097913,6.282654
0.100000,0.001458,-0.000001,0.001469,0.009791,0.039165,0.097913,6.282037
0.100000,0.002682,-0.000003,0.002693,0.014687,0.048957,0.097913,6.281073
0.100000,0.004395,-0.000008,0.004406,0.019583,0.048957,0.000000,6.279726
0.100000,0.006599,-0.000017,0.006609,0.024478,0.048957,0.000000,6.277995
0.100000,0.009291,-0.000034,0.009302,0.029374,0.048957,-0.000000,6.275884
0.100000,0.012473,-0.000061,0.012484,0.034270,0.048957,0.000000,6.273394
0.100000,0.016145,-0.000102,0.016156,0.039165,0.048957,0.000000,6.270528
0.100000,0.020306,-0.000162,0.020317,0.044061,0.048957,0.000000,6.267288
0.100000,0.024956,-0.000244,0.024968,0.048957,0.048957,0.000000,6.263679
0.100000,0.030095,-0.000355,0.030108,0.053852,0.048957,-0.000000,6.259705
0.100000,0.035723,-0.000499,0.035738,0.058748,0.048957,0.000000,6.255370
0.100000,0.041840,-0.000684,0.041858,0.063644,0.048957,0.000000,6.250680
0.100000,0.048445,-0.000915,0.048467,0.068539,0.048957,-0.000000,6.245642
0.100000,0.055538,-0.001201,0.055566,0.073435,0.048957,0.000000,6.240262
0.100000,0.063118,-0.001548,0.063154,0.078331,0.048957,-0.000000,6.234547
0.100000,0.071185,-0.001965,0.071232,0.083226,0.048957,0.000000,6.228508
0.100000,0.079739,-0.002460,0.079799,0.088122,0.048957,-0.000000,6.222152
0.100000,0.088777,-0.003043,0.088856,0.093018,0.048957,0.000000,6.215491
0.100000,0.098299,-0.003722,0.098403,0.097913,0.048957,0.000000,6.208536
0.100000,0.108304,-0.004507,0.108439,0.102809,0.048957,-0.000000,6.201299
0.100000,0.118792,-0.005407,0.118965,0.107705,0.048957,0.000000,6.193796
0.100000,0.129759,-0.006433,0.129980,0.112601,0.048957,-0.000000,6.186039
0.100000,0.141205,-0.007595,0.141485,0.117496,0.048957,0.000000,6.178046
0.100000,0.153128,-0.008903,0.153479,0.122392,0.048957,0.000000,6.169834
0.100000,0.165526,-0.010367,0.165963,0.127288,0.048957,0.000000,6.161421
0.100000,0.178396,-0.011998,0.178937,0.132183,0.048957,-0.000000,6.152827
0.100000,0.191737,-0.013807,0.192400,0.137079,0.048957,-0.000000,6.144073
0.100000,0.205546,-0.015803,0.206353,0.141975,0.048957,0.000000,6.135182
0.100000,0.219821,-0.017998,0.220795,0.146870,0.048957,0.000000,6.126176
0.100000,0.234558,-0.020400,0.235727,0.151766,0.048957,0.000000,6.117080
0.100000,0.249755,-0.023019,0.251148,0.156662,0.048957,-0.000000,6.107921
0.100000,0.265409,-0.025866,0.267059,0.161557,0.048957,0.000000,6.098725
0.100000,0.281517,-0.028949,0.283460,0.166453,0.048957,0.000000,6.089519
0.100000,0.298076,-0.032276,0.300350,0.171349,0.048957,-0.000000,6.080333
0.100000,0.315083,-0.035855,0.317729,0.176244,0.048957,0.000000,6.071197
0.100000,0.332535,-0.039695,0.335598,0.181140,0.048957,-0.000000,6.062142
0.100000,0.350429,-0.043800,0.353957,0.186036,0.048957,0.000000,6.053197
0.100000,0.368762,-0.048178,0.372806,0.190931,0.048957,-0.000000,6.044397
0.100000,0.387531,-0.052834,0.392144,0.195827,0.048957,0.000000,6.035773
0.100000,0.406734,-0.057771,0.411971,0.200723,0.048957,-0.000000,6.027358
